id;name;created;modified;jhi_order;likelihood;question_id
1;YES;${now};${now};1;HIGH;1
2;NO;${now};${now};2;LOW;1
3;YES;${now};${now};1;HIGH;2
4;NO;${now};${now};2;LOW;2
5;YES;${now};${now};1;HIGH;3
6;NO;${now};${now};2;LOW;3
7;YES;${now};${now};1;HIGH;4
8;NO;${now};${now};2;LOW;4
9;YES;${now};${now};1;HIGH;5
10;NO;${now};${now};2;LOW;5
11;YES;${now};${now};1;HIGH;6
12;NO;${now};${now};2;LOW;6
13;YES;${now};${now};1;HIGH;7
14;NO;${now};${now};2;LOW;7
15;YES;${now};${now};1;HIGH;8
16;NO;${now};${now};2;LOW;8
17;YES;${now};${now};1;HIGH;9
18;NO;${now};${now};2;LOW;9
19;YES;${now};${now};1;HIGH;10
20;NO;${now};${now};2;LOW;10
21;YES;${now};${now};1;HIGH;11
22;NO;${now};${now};2;LOW;11
23;YES;${now};${now};1;HIGH;12
24;NO;${now};${now};2;LOW;12
25;YES;${now};${now};1;HIGH;13
26;NO;${now};${now};2;LOW;13
27;YES;${now};${now};1;HIGH;14
28;NO;${now};${now};2;LOW;14
29;YES;${now};${now};1;HIGH;15
30;NO;${now};${now};2;LOW;15
31;YES;${now};${now};1;HIGH;16
32;NO;${now};${now};2;LOW;16
33;YES;${now};${now};1;HIGH;17
34;NO;${now};${now};2;LOW;17
35;YES;${now};${now};1;HIGH;18
36;NO;${now};${now};2;LOW;18
